Species,col_2b,col_WMS,Group,Color
Agrobacterium_fabrum,1.13E-06,0,s11_1,(2b)2bRAD-M only
Agrobacterium_sp900473305,5.44E-07,0,s11_1,(2b)2bRAD-M only
Alcaligenes_phenolicus,1.71E-06,0,s11_1,(2b)2bRAD-M only
Allisonella_pneumosintes,0.000323398,0.000367619,s11_1,shared
Alloprevotella_rava,0.000118593,0.000110574,s11_1,shared
Alloprevotella_tannerae,0.001202958,0.001279197,s11_1,shared
Anaeroglobus_geminatus,7.69E-05,6.35E-05,s11_1,shared
Anaeroglobus_micronuciformis,3.90E-05,2.85E-05,s11_1,shared
Arachnia_propionica,0.000152965,0.000156572,s11_1,shared
Arachnia_sp013333735,0.000121615,0.000128783,s11_1,shared
Arachnia_sp013333945,0.000338378,0.000308145,s11_1,shared
Arachnia_sp900607225,2.32E-05,3.45E-05,s11_1,shared
Bacillus_A_bombysepticus,1.36E-05,6.33E-05,s11_1,shared
Bacteroides_D_periocalifornicus,6.42E-05,7.50E-05,s11_1,shared
Bacteroides_D_sp013333835,2.78E-06,0,s11_1,(2b)2bRAD-M only
Bacteroides_eggerthii,1.04E-05,0,s11_1,(2b)2bRAD-M only
Bacteroides_heparinolyticus,4.73E-06,0,s11_1,(2b)2bRAD-M only
Bacteroides_uniformis,1.37E-05,0,s11_1,(2b)2bRAD-M only
Bacteroides_zoogleoformans,1.10E-06,0,s11_1,(2b)2bRAD-M only
Bergeyella_A_cardium,0.000136962,0.000136666,s11_1,shared
Bifidobacterium_dentium,3.98E-06,4.79E-06,s11_1,shared
Bosea_robiniae,6.36E-07,0,s11_1,(2b)2bRAD-M only
Brevibacillus_agri,3.29E-07,0,s11_1,(2b)2bRAD-M only
Bulleidia_extructa,9.46E-05,7.70E-05,s11_1,shared
Bulleidia_moorei,0.000116258,0.000133883,s11_1,shared
Bulleidia_sp900554555,5.82E-05,0,s11_1,(2b)2bRAD-M only
CAG-793_sp013333035,3.47E-05,0,s11_1,(2b)2bRAD-M only
CAG-793_sp013333395,4.06E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_C,6.96E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_F,8.52E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_I,3.42E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_P,1.77E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_R,8.43E-05,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_concisus_T,0.000128751,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_curvus,1.46E-05,1.62E-05,s11_1,shared
Campylobacter_A_rectus,0.001489155,0.001950829,s11_1,shared
Campylobacter_A_showae,6.75E-05,6.80E-05,s11_1,shared
Campylobacter_A_showae_A,6.05E-05,0.000106783,s11_1,shared
Campylobacter_A_showae_B,5.90E-05,5.96E-05,s11_1,shared
Campylobacter_A_showae_D,4.00E-05,6.21E-05,s11_1,shared
Campylobacter_A_showae_E,6.18E-05,8.01E-05,s11_1,shared
Campylobacter_A_sp012978815,6.87E-06,0,s11_1,(2b)2bRAD-M only
Campylobacter_A_sp014253065,5.37E-05,8.21E-05,s11_1,shared
Campylobacter_B_gracilis,2.55E-05,2.86E-05,s11_1,shared
Campylobacter_B_sp900539505,2.30E-05,3.93E-05,s11_1,shared
Capnocytophaga_endodontalis,0.000223321,0.000221932,s11_1,shared
Capnocytophaga_gingivalis,0.001172029,0.000957998,s11_1,shared
Capnocytophaga_granulosa,0.000331873,0.000318357,s11_1,shared
Capnocytophaga_haemolytica,8.95E-06,0,s11_1,(2b)2bRAD-M only
Capnocytophaga_leadbetteri,0.002399445,0.002260974,s11_1,shared
Capnocytophaga_ochracea,0.000977071,0.000944425,s11_1,shared
Capnocytophaga_sp000192225,4.59E-05,5.75E-05,s11_1,shared
Capnocytophaga_sp000318275,0.000456446,0.000410052,s11_1,shared
Capnocytophaga_sp000466425,0.001806181,0.001449872,s11_1,shared
Capnocytophaga_sp002999135,0.000200076,0.000193251,s11_1,shared
Capnocytophaga_sputigena,0.00306732,0.002857895,s11_1,shared
Cardiobacterium_hominis,0.000831977,0.000892672,s11_1,shared
Cardiobacterium_valvarum,7.72E-05,9.02E-05,s11_1,shared
Catonella_morbi,8.89E-05,7.51E-05,s11_1,shared
Centipeda_artemidis,1.93E-05,1.65E-05,s11_1,shared
Centipeda_felix,1.08E-05,1.41E-05,s11_1,shared
Centipeda_flueggei,5.74E-06,0,s11_1,(2b)2bRAD-M only
Centipeda_infelix,2.00E-05,2.49E-05,s11_1,shared
Centipeda_massiliensis,1.86E-05,1.82E-05,s11_1,shared
Centipeda_noxia,4.23E-05,4.53E-05,s11_1,shared
Centipeda_periodontii,8.53E-06,1.57E-05,s11_1,shared
Centipeda_sp000286455,1.25E-05,1.05E-05,s11_1,shared
Centipeda_sp000318175,1.29E-05,1.48E-05,s11_1,shared
Centipeda_sp000468035,8.12E-06,6.58E-06,s11_1,shared
Centipeda_sp001683335,1.78E-05,2.01E-05,s11_1,shared
Centipeda_sp001717585,9.62E-06,7.61E-06,s11_1,shared
Cnuibacter_physcomitrellae,1.51E-06,0,s11_1,(2b)2bRAD-M only
Cobetia_marina,5.94E-06,7.03E-06,s11_1,shared
Comamonas_tsuruhatensis,6.66E-06,0,s11_1,(2b)2bRAD-M only
Conchiformibius_kuhniae,2.02E-06,0,s11_1,(2b)2bRAD-M only
Corynebacterium_argentoratense,0.000104384,0.000100483,s11_1,shared
Corynebacterium_durum,0.000470538,0.000421398,s11_1,shared
Corynebacterium_kefirresidentii,3.31E-06,0,s11_1,(2b)2bRAD-M only
Corynebacterium_matruchotii,0.00090613,0.000817122,s11_1,shared
Cryptobacterium_curtum,3.53E-06,0,s11_1,(2b)2bRAD-M only
Cutibacterium_acnes,7.92E-05,7.41E-05,s11_1,shared
Cutibacterium_granulosum,2.23E-06,0,s11_1,(2b)2bRAD-M only
Desulfobulbus_oralis,9.62E-05,5.32E-05,s11_1,shared
Dialister_invisus,0.000364831,0.000460026,s11_1,shared
Dialister_sp900555245,1.34E-05,0,s11_1,(2b)2bRAD-M only
Draconibacterium_luteus,1.47E-05,0,s11_1,(2b)2bRAD-M only
Eggerthia_catenaformis,9.43E-05,0,s11_1,(2b)2bRAD-M only
Eikenella_corrodens,0.001544872,0.001727834,s11_1,shared
Eikenella_corrodens_B,4.98E-05,7.92E-05,s11_1,shared
Eikenella_exigua,5.03E-05,7.49E-05,s11_1,shared
Eikenella_halliae,0.000115371,0.000150555,s11_1,shared
Eikenella_longinqua,5.09E-06,0,s11_1,(2b)2bRAD-M only
Eikenella_shayeganii,0.000110503,4.68E-05,s11_1,shared
Eubacterium_A_minutum,2.78E-05,2.23E-05,s11_1,shared
Eubacterium_B_infirmum,0.000194083,0.000164954,s11_1,shared
Eubacterium_B_sulci,3.11E-05,3.17E-05,s11_1,shared
Eubacterium_M_brachy,0.001192151,0.001198978,s11_1,shared
Eubacterium_N_saphenum,0.005972759,0.006134766,s11_1,shared
F0040_sp000318095,0.000530937,0.00050924,s11_1,shared
F0040_sp003639005,0.00031438,0.000343365,s11_1,shared
F0040_sp003859795,4.30E-06,0,s11_1,(2b)2bRAD-M only
F0040_sp900095835,0.000464199,0.00043531,s11_1,shared
F0058_sp000163695,0.000831915,0.000712616,s11_1,shared
F0422_sp001553345,0.000776661,0.000799079,s11_1,shared
F0422_sp003992015,2.36E-05,0,s11_1,(2b)2bRAD-M only
F0422_sp003992055,8.57E-05,5.80E-05,s11_1,shared
F0422_sp003992315,1.90E-05,0,s11_1,(2b)2bRAD-M only
F0422_sp003999875,8.50E-05,0,s11_1,(2b)2bRAD-M only
F0422_sp900544365,9.16E-06,0,s11_1,(2b)2bRAD-M only
F0422_sp900766245,1.87E-05,0,s11_1,(2b)2bRAD-M only
F0428_sp003043955,1.64E-05,0,s11_1,(2b)2bRAD-M only
Filifactor_alocis,0.002977829,0.002959351,s11_1,shared
Flexilinea_sp001717545,1.28E-05,1.87E-05,s11_1,shared
Fretibacterium_fastidiosum,0.00016155,0.000168337,s11_1,shared
Fretibacterium_sp003860125,1.31E-05,1.49E-05,s11_1,shared
Fusobacterium_animalis,0.000673696,0.001284497,s11_1,shared
Fusobacterium_hwasookii,0.000109411,0,s11_1,(2b)2bRAD-M only
Fusobacterium_massiliense,3.73E-05,0,s11_1,(2b)2bRAD-M only
Fusobacterium_nucleatum_J,0.001641863,0.003564256,s11_1,shared
Fusobacterium_periodonticum_D,0.000160929,0,s11_1,(2b)2bRAD-M only
Fusobacterium_polymorphum,0.000452307,0,s11_1,(2b)2bRAD-M only
Fusobacterium_pseudoperiodonticum,0.000613683,0.001177843,s11_1,shared
Fusobacterium_sp000235465,0.000148361,0,s11_1,(2b)2bRAD-M only
Fusobacterium_vincentii,0.00093398,0.001580212,s11_1,shared
Gemella_haemolysans,0.004356386,0.004360777,s11_1,shared
Gemella_haemolysans_A,0.000640686,0.000704595,s11_1,shared
Gemella_haemolysans_B,0.008676567,0.009905814,s11_1,shared
Gemella_morbillorum,0.000636253,0.000627355,s11_1,shared
Gemella_sanguinis,0.000102562,0.000150804,s11_1,shared
Gemella_sp002871655,0.002981037,0.002607233,s11_1,shared
Gemella_sp900766305,0.00230975,0.001873595,s11_1,shared
GN02-872_sp002761215,0.000351671,0,s11_1,(2b)2bRAD-M only
GN02-872_sp003260325,0.000299195,0,s11_1,(2b)2bRAD-M only
GN02-873_sp003260345,0.002297565,0.002511458,s11_1,shared
GN02-873_sp013332525,0.000396673,0.00044083,s11_1,shared
Gordonia_sp002009645,2.06E-06,0,s11_1,(2b)2bRAD-M only
Gordonia_terrae,6.49E-06,9.66E-06,s11_1,shared
Granulicatella_adiacens,0.003396945,0.003624667,s11_1,shared
Granulicatella_elegans,0.003327216,0.003366059,s11_1,shared
Granulicatella_sp001058355,0.000781513,0.000828897,s11_1,shared
Granulicatella_sp001071995,0.000211439,0.000162655,s11_1,shared
Granulicatella_sp900551535,0.000380099,0.000389611,s11_1,shared
Haemophilus_A_parahaemolyticus,0.011433586,0.013009125,s11_1,shared
Haemophilus_A_paraphrohaemolyticus,0.000739472,0.00074033,s11_1,shared
Haemophilus_A_sputorum,0.001118735,0.001291397,s11_1,shared
Haemophilus_D_parainfluenzae,0.013952482,0.015018407,s11_1,shared
Haemophilus_D_parainfluenzae_A,0.001084471,0.001196336,s11_1,shared
Haemophilus_D_parainfluenzae_J,0.000785281,0.001172635,s11_1,shared
Haemophilus_D_parainfluenzae_K,0.004171259,0.005190419,s11_1,shared
Haemophilus_D_parainfluenzae_L,0.001981473,0.001367718,s11_1,shared
Haemophilus_D_parainfluenzae_M,0.008992383,0.006569004,s11_1,shared
Haemophilus_D_parainfluenzae_N,0.001801694,0.002269494,s11_1,shared
Haemophilus_D_pittmaniae,0.000102976,0.000426677,s11_1,shared
Haemophilus_D_sp001679485,0.005870155,0.005670183,s11_1,shared
Haemophilus_D_sp001815355,0.003315339,0.002794078,s11_1,shared
Haemophilus_D_sp900755445,0.0037013,0.005017252,s11_1,shared
Haemophilus_D_sp900756155,0.000584552,0.001406943,s11_1,shared
Haemophilus_D_sp900756875,0.00117598,0.001447979,s11_1,shared
Haemophilus_D_sp900764435,0.000886728,0.000848281,s11_1,shared
Haemophilus_haemolyticus,0.006158811,0.00795849,s11_1,shared
Haemophilus_haemolyticus_I,0.00104701,0.001036058,s11_1,shared
Haemophilus_influenzae,0,0.000132736,s11_1,(WMS)2bRAD-M only
Haemophilus_influenzae_D,0.000200465,0.000260913,s11_1,shared
Haemophilus_quentini,8.65E-05,0.000194776,s11_1,shared
Haemophilus_sp001276515,0.005588767,0.003761318,s11_1,shared
Haemophilus_sp002998595,0.004942422,0.005670914,s11_1,shared
HOT-345_sp003260355,0.000139802,0.000201346,s11_1,shared
HOT-345_sp013333295,0.000230181,0.000271666,s11_1,shared
HOT-345_sp013333605,0.001103042,0.001283425,s11_1,shared
JABCPE02_sp013333255,0.001718495,0.00180829,s11_1,shared
JABCPE02_sp013333875,0.001004746,0.000951723,s11_1,shared
JABCPG02_sp013333195,1.98E-05,1.57E-05,s11_1,shared
JABCPH02_sp013333235,2.04E-05,0,s11_1,(2b)2bRAD-M only
Johnsonella_ignava,2.65E-05,0,s11_1,(2b)2bRAD-M only
Johnsonella_sp900766185,5.08E-05,3.89E-05,s11_1,shared
Kingella_A_denitrificans,0.001077664,0.001267462,s11_1,shared
Kingella_B_oralis,7.04E-05,5.14E-05,s11_1,shared
Kingella_kingae,0.000255745,0.000291602,s11_1,shared
Kingella_negevensis,8.51E-06,0.000494442,s11_1,shared
Klebsiella_pneumoniae,1.64E-06,2.19E-05,s11_1,shared
Kocuria_palustris,1.57E-06,0,s11_1,(2b)2bRAD-M only
Lachnoanaerobaculum_gingivalis,3.61E-05,0,s11_1,(2b)2bRAD-M only
Lachnoanaerobaculum_orale,1.46E-05,0,s11_1,(2b)2bRAD-M only
Lachnoanaerobaculum_saburreum,2.49E-05,0,s11_1,(2b)2bRAD-M only
Lachnoanaerobaculum_sp000209465,7.69E-05,0.000101467,s11_1,shared
Lachnoanaerobaculum_sp000287675,1.35E-05,0,s11_1,(2b)2bRAD-M only
Lachnoanaerobaculum_sp000296385,2.67E-05,0,s11_1,(2b)2bRAD-M only
Lancefieldella_parvula,1.86E-05,0,s11_1,(2b)2bRAD-M only
Lancefieldella_rimae,5.18E-05,5.82E-05,s11_1,shared
Lancefieldella_sp000564995,4.97E-05,4.99E-05,s11_1,shared
Lancefieldella_sp900555335,2.39E-05,0,s11_1,(2b)2bRAD-M only
Lautropia_dentalis,0.000316077,0.000344854,s11_1,shared
Lautropia_mirabilis,0.004056886,0.004553412,s11_1,shared
Lawsonella_clevelandensis_A,1.94E-05,1.90E-05,s11_1,shared
Leptotrichia_A_sp000469505,0.000254333,0.000173789,s11_1,shared
Leptotrichia_A_sp001274535,0.000260615,0.000187724,s11_1,shared
Leptotrichia_buccalis,0.000574213,0.000656573,s11_1,shared
Leptotrichia_hofstadii,8.08E-05,0.000158115,s11_1,shared
Leptotrichia_hongkongensis,5.31E-05,0,s11_1,(2b)2bRAD-M only
Leptotrichia_massiliensis,0.000233879,0.000375918,s11_1,shared
Leptotrichia_shahii,6.01E-05,0,s11_1,(2b)2bRAD-M only
Leptotrichia_sp000469385,3.04E-05,0,s11_1,(2b)2bRAD-M only
Leptotrichia_sp001553645,1.32E-05,0,s11_1,(2b)2bRAD-M only
Leptotrichia_sp002240055,0.000115044,0.000113546,s11_1,shared
Leptotrichia_sp013394795,5.07E-05,9.52E-05,s11_1,shared
Leptotrichia_trevisanii,0.000134421,0.000218125,s11_1,shared
Leptotrichia_wadei,0.000118259,0,s11_1,(2b)2bRAD-M only
Leptotrichia_wadei_A,7.18E-05,0.000145999,s11_1,shared
Macrococcus_B_caseolyticus,1.99E-05,0,s11_1,(2b)2bRAD-M only
Malassezia_globosa,3.91E-07,0,s11_1,(2b)2bRAD-M only
Mesocricetibacter_intestinalis,8.03E-06,0,s11_1,(2b)2bRAD-M only
Metamycoplasma_salivarium,0.000118411,0,s11_1,(2b)2bRAD-M only
Microbacterium_barkeri,2.21E-05,2.63E-05,s11_1,shared
Microbacterium_oxydans,1.45E-06,0,s11_1,(2b)2bRAD-M only
Microbacterium_sp004794315,6.50E-07,0,s11_1,(2b)2bRAD-M only
Microbacterium_testaceum_B,2.92E-06,6.98E-06,s11_1,shared
Mitsuokella_sp000469545,1.08E-06,0,s11_1,(2b)2bRAD-M only
Mogibacterium_diversum,3.05E-05,0,s11_1,(2b)2bRAD-M only
Mogibacterium_pumilum,2.08E-05,0,s11_1,(2b)2bRAD-M only
Mogibacterium_timidum,0.00033074,0.000286472,s11_1,shared
Mycobacterium_septicum,4.02E-07,0,s11_1,(2b)2bRAD-M only
Mycobacterium_tuberculosis,0,6.07E-06,s11_1,(WMS)2bRAD-M only
Necropsobacter_massiliensis_B,5.00E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_animalis,3.49E-05,5.92E-05,s11_1,shared
Neisseria_bacilliformis,5.98E-05,0.00010304,s11_1,shared
Neisseria_bergeri,0.000168182,0.000189689,s11_1,shared
Neisseria_brasiliensis,7.67E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_cerebrosa,0.020518839,0.022236767,s11_1,shared
Neisseria_chenwenguii,8.98E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_cinerea,0.014979589,0.013927011,s11_1,shared
Neisseria_denitrificans,1.25E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_elongata,0.018535962,0.021822789,s11_1,shared
Neisseria_flavescens,0.001393033,0.001178803,s11_1,shared
Neisseria_flavescens_A,0.000479026,0.001920396,s11_1,shared
Neisseria_flavescens_B,0.023567721,0.026405999,s11_1,shared
Neisseria_flavescens_C,0.0033133,0.003628787,s11_1,shared
Neisseria_gonorrhoeae,0.003198577,0.00226807,s11_1,shared
Neisseria_iguanae,0.000286629,0.000264542,s11_1,shared
Neisseria_lactamica,0.000627013,0.000958956,s11_1,shared
Neisseria_lactamica_A,8.55E-05,0.000105078,s11_1,shared
Neisseria_lactamica_B,0.007577186,0.004662983,s11_1,shared
Neisseria_macacae,0.002285052,0.004289337,s11_1,shared
Neisseria_meningitidis,0.003305926,0.005408384,s11_1,shared
Neisseria_mucosa,0.016190383,0.019504516,s11_1,shared
Neisseria_mucosa_A,0.035244942,0.034723917,s11_1,shared
Neisseria_musculi,3.17E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_perflava,0.000927465,0.00197343,s11_1,shared
Neisseria_polysaccharea,0.002266769,0.001887188,s11_1,shared
Neisseria_potus,9.70E-05,5.46E-05,s11_1,shared
Neisseria_sicca,0.002978864,0.003819447,s11_1,shared
Neisseria_sicca_A,0.021641494,0.022505773,s11_1,shared
Neisseria_sicca_B,0.002621962,0.005441265,s11_1,shared
Neisseria_sicca_C,0.001172983,0.001867521,s11_1,shared
Neisseria_sicca_D,0.207240348,0.215703357,s11_1,shared
Neisseria_sicca_E,0.003196374,0.002668368,s11_1,shared
Neisseria_sp000090875,0.003784356,0.004420512,s11_1,shared
Neisseria_sp000186165,0.009381571,0.010461788,s11_1,shared
Neisseria_sp000227275,0.005137045,0.003618429,s11_1,shared
Neisseria_sp000952795,0.000500781,0.00222766,s11_1,shared
Neisseria_sp001809325,0.003325081,0.005037549,s11_1,shared
Neisseria_sp001815675,0.000108331,0.000209747,s11_1,shared
Neisseria_sp002237445,0.00026358,0.000320809,s11_1,shared
Neisseria_sp002327085,6.51E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_sp011038745,7.14E-06,9.34E-06,s11_1,shared
Neisseria_subflava,0.025234434,0.024865147,s11_1,shared
Neisseria_subflava_A,0.031257656,0.032880763,s11_1,shared
Neisseria_subflava_B,0.003491523,0.003885572,s11_1,shared
Neisseria_subflava_C,0.01668733,0.017406718,s11_1,shared
Neisseria_suis,3.21E-06,0,s11_1,(2b)2bRAD-M only
Neisseria_weaveri,4.26E-06,0,s11_1,(2b)2bRAD-M only
Nesterenkonia_cremea,1.17E-06,0,s11_1,(2b)2bRAD-M only
Nocardioides_simplex,6.32E-07,0,s11_1,(2b)2bRAD-M only
Ochrobactrum_anthropi,2.15E-06,0,s11_1,(2b)2bRAD-M only
Olsenella_profusa,8.17E-07,0,s11_1,(2b)2bRAD-M only
Olsenella_sp001189515,2.09E-05,2.03E-05,s11_1,shared
Olsenella_uli,3.49E-06,0,s11_1,(2b)2bRAD-M only
Oribacterium_asaccharolyticum,3.45E-05,3.64E-05,s11_1,shared
Oribacterium_parvum,9.87E-06,0,s11_1,(2b)2bRAD-M only
Oribacterium_sinus,7.56E-05,6.61E-05,s11_1,shared
Oribacterium_sp000160135,1.77E-05,2.05E-05,s11_1,shared
Ottowia_sp001262075,0.000344911,0.000447793,s11_1,shared
Paracoccus_marcusii,2.61E-06,0,s11_1,(2b)2bRAD-M only
Paracoccus_yeei,8.90E-07,0,s11_1,(2b)2bRAD-M only
Parascardovia_denticolens,5.09E-06,0,s11_1,(2b)2bRAD-M only
Parvimonas_micra,0.000431507,0.000519363,s11_1,shared
Parvimonas_sp000223315,4.66E-05,0,s11_1,(2b)2bRAD-M only
Pasteurella_dagmatis,1.93E-05,0,s11_1,(2b)2bRAD-M only
Pauljensenia_bouchesdurhonensis,9.78E-07,0,s11_1,(2b)2bRAD-M only
Pauljensenia_cardiffensis,6.69E-06,7.48E-06,s11_1,shared
Pauljensenia_georgiae,1.46E-05,2.44E-05,s11_1,shared
Pauljensenia_hongkongensis,3.12E-05,3.98E-05,s11_1,shared
Pauljensenia_marseillensis,1.33E-05,1.53E-05,s11_1,shared
Pauljensenia_meyeri,1.03E-06,0,s11_1,(2b)2bRAD-M only
Pauljensenia_odontolytica,0.000180203,0.000186328,s11_1,shared
Pauljensenia_odontolytica_A,1.73E-05,1.32E-05,s11_1,shared
Pauljensenia_odontolytica_B,2.52E-05,2.98E-05,s11_1,shared
Pauljensenia_odontolytica_C,1.03E-05,1.54E-05,s11_1,shared
Pauljensenia_pyogenes_A,3.00E-05,2.88E-05,s11_1,shared
Pauljensenia_sp000185285,1.22E-05,1.73E-05,s11_1,shared
Pauljensenia_sp000278725,0.000101284,0.000114632,s11_1,shared
Pauljensenia_sp000308055,1.47E-05,1.73E-05,s11_1,shared
Pauljensenia_sp000411415,9.35E-06,0,s11_1,(2b)2bRAD-M only
Pauljensenia_sp000466265,2.94E-05,3.16E-05,s11_1,shared
Pauljensenia_sp000758755,8.50E-06,0,s11_1,(2b)2bRAD-M only
Pauljensenia_sp001064145,1.60E-05,1.88E-05,s11_1,shared
Pauljensenia_sp001072465,2.39E-05,2.47E-05,s11_1,shared
Pauljensenia_sp001838165,2.31E-05,2.42E-05,s11_1,shared
Pauljensenia_sp900541895,8.57E-06,0,s11_1,(2b)2bRAD-M only
Pauljensenia_sp900554605,2.55E-05,2.59E-05,s11_1,shared
Pauljensenia_sp900556405,6.68E-06,0,s11_1,(2b)2bRAD-M only
Pauljensenia_sp902373435,9.88E-06,1.33E-05,s11_1,shared
Pauljensenia_sp902373545,1.78E-05,2.73E-05,s11_1,shared
Peptidiphaga_gingivicola,4.15E-05,4.71E-05,s11_1,shared
Peptidiphaga_sp000466165,0.00013059,0.000163342,s11_1,shared
Peptoanaerobacter_margaretiae,8.30E-05,6.23E-05,s11_1,shared
Peptoanaerobacter_stomatis,0.000132074,0.000198497,s11_1,shared
Peptoanaerobacter_yurii,3.74E-05,6.08E-05,s11_1,shared
Peptostreptococcus_sp900759325,2.04E-05,0,s11_1,(2b)2bRAD-M only
Peptostreptococcus_stomatis,0.000303538,0.000346374,s11_1,shared
Phocaeicola_abscessus,3.36E-05,2.85E-05,s11_1,shared
Porphyromonas_catoniae,0.000675468,0.000503921,s11_1,shared
Porphyromonas_endodontalis,0.0039496,0.003548477,s11_1,shared
Porphyromonas_gingivalis,0.007981138,0.007609972,s11_1,shared
Porphyromonas_gulae,1.65E-05,0,s11_1,(2b)2bRAD-M only
Porphyromonas_pasteri,0.015933608,0.014068747,s11_1,shared
Porphyromonas_sp000467855,0.00207003,0.001471147,s11_1,shared
Porphyromonas_sp000769075,5.96E-06,0,s11_1,(2b)2bRAD-M only
Porphyromonas_sp003640335,0.003691593,0.003148473,s11_1,shared
Prevotella_amnii,7.63E-05,0,s11_1,(2b)2bRAD-M only
Prevotella_aurantiaca,0.000198698,0.000193077,s11_1,shared
Prevotella_baroniae,0.000178484,0.00017987,s11_1,shared
Prevotella_bivia,0.000180563,0.000226456,s11_1,shared
Prevotella_buccae,9.19E-05,0.000105731,s11_1,shared
Prevotella_colorans,7.06E-06,0,s11_1,(2b)2bRAD-M only
Prevotella_conceptionensis,0.000535067,0.000504542,s11_1,shared
Prevotella_corporis,4.80E-06,0,s11_1,(2b)2bRAD-M only
Prevotella_denticola,0.000176677,0.000170744,s11_1,shared
Prevotella_disiens,2.00E-05,5.29E-05,s11_1,shared
Prevotella_enoeca,3.63E-05,3.32E-05,s11_1,shared
Prevotella_falsenii,2.55E-05,2.57E-05,s11_1,shared
Prevotella_fusca,0.000335777,0.000271971,s11_1,shared
Prevotella_histicola,7.43E-05,6.88E-05,s11_1,shared
Prevotella_intermedia,0.011833949,0.011056731,s11_1,shared
Prevotella_jejuni,0.000195406,0.000162926,s11_1,shared
Prevotella_koreensis,0.001012737,0.000876644,s11_1,shared
Prevotella_loescheii,0.000443914,0.000402413,s11_1,shared
Prevotella_maculosa,5.71E-05,5.53E-05,s11_1,shared
Prevotella_marshii,2.19E-05,2.67E-05,s11_1,shared
Prevotella_melaninogenica,0.001331113,0.001102197,s11_1,shared
Prevotella_melaninogenica_A,0.000914645,0.000801511,s11_1,shared
Prevotella_micans,0.000106568,9.81E-05,s11_1,shared
Prevotella_multiformis,0.000115212,8.10E-05,s11_1,shared
Prevotella_nanceiensis,0.000393903,0.000414028,s11_1,shared
Prevotella_nigrescens,0.002541771,0.002349316,s11_1,shared
Prevotella_oralis,5.61E-05,5.54E-05,s11_1,shared
Prevotella_oris,0.001246521,0.001081564,s11_1,shared
Prevotella_oulorum,7.60E-05,7.04E-05,s11_1,shared
Prevotella_pallens,0.000246326,0.000217187,s11_1,shared
Prevotella_pleuritidis,0.000992504,0.000993336,s11_1,shared
Prevotella_saccharolytica,5.05E-05,3.95E-05,s11_1,shared
Prevotella_salivae,8.02E-05,8.38E-05,s11_1,shared
Prevotella_scopos,5.20E-05,3.78E-05,s11_1,shared
