Species,col_mpa,col_2bp,Group,Color
Leptotrichia_buccalis,0.000799081,0.000656573,s11_1,shared
Leptotrichia_hofstadii,8.20E-05,0.000158115,s11_1,shared
Leptotrichia_hongkongensis,2.76E-05,0,s11_1,(WMS)MPA only
Leptotrichia_massiliensis,0.000428008,0.000375918,s11_1,shared
Leptotrichia_shahii,2.40E-05,0,s11_1,(WMS)MPA only
Leptotrichia_sp002240055,7.44E-05,0.000113546,s11_1,shared
Leptotrichia_sp013394795,1.92E-05,9.52E-05,s11_1,shared
Leptotrichia_trevisanii,2.91E-05,0.000218125,s11_1,shared
Leptotrichia_wadei_A,0.000163285,0.000145999,s11_1,shared
Mesocricetibacter_sp905373425,0.000542506,0,s11_1,(WMS)MPA only
Metamycoplasma_salivarium,0.000155032,0,s11_1,(WMS)MPA only
Microbacterium_barkeri,0,2.63E-05,s11_1,(WMS)2bRAD-M only
Microbacterium_testaceum_B,0,6.98E-06,s11_1,(WMS)2bRAD-M only
Mogibacterium_timidum,0.000217295,0.000286472,s11_1,shared
Mycobacterium_tuberculosis,0,6.07E-06,s11_1,(WMS)2bRAD-M only
Nanogingivalis_gingivitcus,0.001055761,0,s11_1,(WMS)MPA only
Nanogingivalis_sp900555945,0.000332942,0,s11_1,(WMS)MPA only
Nanogingivalis_sp900556165,0.000288752,0,s11_1,(WMS)MPA only
Neisseria_animalis,0,5.92E-05,s11_1,(WMS)2bRAD-M only
Neisseria_bacilliformis,0,0.00010304,s11_1,(WMS)2bRAD-M only
Neisseria_bergeri,0,0.000189689,s11_1,(WMS)2bRAD-M only
Neisseria_cerebrosa,0,0.022236767,s11_1,(WMS)2bRAD-M only
Neisseria_cinerea,0.016619616,0.013927011,s11_1,shared
Neisseria_elongata,0.021393836,0.021822789,s11_1,shared
Neisseria_flavescens,0,0.001178803,s11_1,(WMS)2bRAD-M only
Neisseria_flavescens_A,0,0.001920396,s11_1,(WMS)2bRAD-M only
Neisseria_flavescens_B,0,0.026405999,s11_1,(WMS)2bRAD-M only
Neisseria_flavescens_C,0,0.003628787,s11_1,(WMS)2bRAD-M only
Neisseria_gonorrhoeae,0,0.00226807,s11_1,(WMS)2bRAD-M only
Neisseria_iguanae,0,0.000264542,s11_1,(WMS)2bRAD-M only
Neisseria_lactamica,0,0.000958956,s11_1,(WMS)2bRAD-M only
Neisseria_lactamica_A,0,0.000105078,s11_1,(WMS)2bRAD-M only
Neisseria_lactamica_B,0,0.004662983,s11_1,(WMS)2bRAD-M only
Neisseria_macacae,0,0.004289337,s11_1,(WMS)2bRAD-M only
Neisseria_meningitidis,0,0.005408384,s11_1,(WMS)2bRAD-M only
Neisseria_mucosa,0.353166964,0.019504516,s11_1,shared
Neisseria_mucosa_A,0,0.034723917,s11_1,(WMS)2bRAD-M only
Neisseria_perflava,0,0.00197343,s11_1,(WMS)2bRAD-M only
Neisseria_polysaccharea,0,0.001887188,s11_1,(WMS)2bRAD-M only
Neisseria_potus,0,5.46E-05,s11_1,(WMS)2bRAD-M only
Neisseria_sicca,0,0.003819447,s11_1,(WMS)2bRAD-M only
Neisseria_sicca_A,0,0.022505773,s11_1,(WMS)2bRAD-M only
Neisseria_sicca_B,0.014910925,0.005441265,s11_1,shared
Neisseria_sicca_C,0,0.001867521,s11_1,(WMS)2bRAD-M only
Neisseria_sicca_D,0,0.215703357,s11_1,(WMS)2bRAD-M only
Neisseria_sicca_E,0,0.002668368,s11_1,(WMS)2bRAD-M only
Neisseria_sp000090875,0.006965765,0.004420512,s11_1,shared
Neisseria_sp000186165,0,0.010461788,s11_1,(WMS)2bRAD-M only
Neisseria_sp000227275,0,0.003618429,s11_1,(WMS)2bRAD-M only
Neisseria_sp000952795,0,0.00222766,s11_1,(WMS)2bRAD-M only
Neisseria_sp001809325,0,0.005037549,s11_1,(WMS)2bRAD-M only
Neisseria_sp001815675,0,0.000209747,s11_1,(WMS)2bRAD-M only
Neisseria_sp002237445,0.000350597,0.000320809,s11_1,shared
Neisseria_sp011038745,0,9.34E-06,s11_1,(WMS)2bRAD-M only
Neisseria_subflava,0,0.024865147,s11_1,(WMS)2bRAD-M only
Neisseria_subflava_A,0,0.032880763,s11_1,(WMS)2bRAD-M only
Neisseria_subflava_B,0,0.003885572,s11_1,(WMS)2bRAD-M only
Neisseria_subflava_C,0.133084168,0.017406718,s11_1,shared
Olsenella_sp001189515,0,2.03E-05,s11_1,(WMS)2bRAD-M only
Oribacterium_asaccharolyticum,8.15E-06,3.64E-05,s11_1,shared
Oribacterium_sinus,4.21E-05,6.61E-05,s11_1,shared
Oribacterium_sp000160135,0,2.05E-05,s11_1,(WMS)2bRAD-M only
Ottowia_sp001262075,0.000559534,0.000447793,s11_1,shared
Parvimonas_micra,0.000337016,0.000519363,s11_1,shared
Parvimonas_sp015257355,6.91E-05,0,s11_1,(WMS)MPA only
Pauljensenia_cardiffensis,0,7.48E-06,s11_1,(WMS)2bRAD-M only
Pauljensenia_georgiae,0,2.44E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_hongkongensis,0,3.98E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_marseillensis,0,1.53E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_odontolytica,0.000158061,0.000186328,s11_1,shared
Pauljensenia_odontolytica_A,0,1.32E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_odontolytica_B,0,2.98E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_odontolytica_C,0,1.54E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_pyogenes_A,0,2.88E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp000185285,0,1.73E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp000278725,0.000126929,0.000114632,s11_1,shared
Pauljensenia_sp000308055,1.74E-05,1.73E-05,s11_1,shared
Pauljensenia_sp000411415,1.56E-05,0,s11_1,(WMS)MPA only
Pauljensenia_sp000466265,0,3.16E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp001064145,0,1.88E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp001072465,0,2.47E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp001838165,0,2.42E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp900554605,0,2.59E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp902373435,0,1.33E-05,s11_1,(WMS)2bRAD-M only
Pauljensenia_sp902373545,0,2.73E-05,s11_1,(WMS)2bRAD-M only
Peptidiphaga_gingivicola,6.12E-05,4.71E-05,s11_1,shared
Peptidiphaga_sp000466165,7.66E-05,0.000163342,s11_1,shared
Peptoanaerobacter_margaretiae,0,6.23E-05,s11_1,(WMS)2bRAD-M only
Peptoanaerobacter_stomatis,3.36E-05,0.000198497,s11_1,shared
Peptoanaerobacter_yurii,0,6.08E-05,s11_1,(WMS)2bRAD-M only
Peptostreptococcus_stomatis,0.000392593,0.000346374,s11_1,shared
Phocaeicola_abscessus,1.54E-05,2.85E-05,s11_1,shared
Porphyromonas_catoniae,0.000606545,0.000503921,s11_1,shared
Porphyromonas_endodontalis,0.006253289,0.003548477,s11_1,shared
Porphyromonas_gingivalis,0.006295912,0.007609972,s11_1,shared
Porphyromonas_pasteri,0.018438312,0.014068747,s11_1,shared
Porphyromonas_sp000467855,0.002629478,0.001471147,s11_1,shared
Porphyromonas_sp003640335,0.005063808,0.003148473,s11_1,shared
Porphyromonas_sp018127745,0.00237238,0,s11_1,(WMS)MPA only
Porphyromonas_sp905372525,0.000376192,0,s11_1,(WMS)MPA only
Prevotella_aurantiaca,0.000265559,0.000193077,s11_1,shared
Prevotella_baroniae,0.000161613,0.00017987,s11_1,shared
Prevotella_bivia,0,0.000226456,s11_1,(WMS)2bRAD-M only
Prevotella_buccae,4.19E-05,0.000105731,s11_1,shared
Prevotella_conceptionensis,0.000704642,0.000504542,s11_1,shared
Prevotella_denticola,6.89E-05,0.000170744,s11_1,shared
Prevotella_disiens,0,5.29E-05,s11_1,(WMS)2bRAD-M only
Prevotella_enoeca,0,3.32E-05,s11_1,(WMS)2bRAD-M only
Prevotella_falsenii,0,2.57E-05,s11_1,(WMS)2bRAD-M only
Prevotella_fusca,0.000263157,0.000271971,s11_1,shared
Prevotella_histicola,1.62E-05,6.88E-05,s11_1,shared
Prevotella_intermedia,0.010269589,0.011056731,s11_1,shared
Prevotella_jejuni,9.04E-05,0.000162926,s11_1,shared
Prevotella_koreensis,0.001105592,0.000876644,s11_1,shared
Prevotella_loescheii,0.000468856,0.000402413,s11_1,shared
Prevotella_maculosa,1.58E-05,5.53E-05,s11_1,shared
Prevotella_marshii,0,2.67E-05,s11_1,(WMS)2bRAD-M only
Prevotella_melaninogenica,0.001663978,0.001102197,s11_1,shared
Prevotella_melaninogenica_A,0,0.000801511,s11_1,(WMS)2bRAD-M only
Prevotella_micans,9.42E-05,9.81E-05,s11_1,shared
Prevotella_multiformis,7.90E-05,8.10E-05,s11_1,shared
Prevotella_nanceiensis,0.000624618,0.000414028,s11_1,shared
Prevotella_nigrescens,0.002224244,0.002349316,s11_1,shared
Prevotella_oralis,2.44E-05,5.54E-05,s11_1,shared
Prevotella_oris,0.001095772,0.001081564,s11_1,shared
Prevotella_oulorum,5.18E-05,7.04E-05,s11_1,shared
Prevotella_pallens,0.000192431,0.000217187,s11_1,shared
Prevotella_pleuritidis,0.0009281,0.000993336,s11_1,shared
Prevotella_saccharolytica,0,3.95E-05,s11_1,(WMS)2bRAD-M only
Prevotella_salivae,4.87E-05,8.38E-05,s11_1,shared
Prevotella_scopos,0,3.78E-05,s11_1,(WMS)2bRAD-M only
Prevotella_seregens,9.57E-05,0.000141081,s11_1,shared
Prevotella_shahii,3.63E-05,7.50E-05,s11_1,shared
Prevotella_sp000163055,2.95E-05,8.65E-05,s11_1,shared
Prevotella_sp000257925,0.000199222,0.000134737,s11_1,shared
Prevotella_sp000467895,0.00041286,0.000270347,s11_1,shared
Prevotella_sp003043925,5.95E-06,9.17E-05,s11_1,shared
Prevotella_sp003043945,0,2.17E-05,s11_1,(WMS)2bRAD-M only
Prevotella_sp013333285,7.31E-06,5.09E-05,s11_1,shared
Prevotella_sp013333935,0.000121915,0.000117422,s11_1,shared
Prevotella_sp905372445,0.003143359,0,s11_1,(WMS)MPA only
Prevotella_veroralis,2.26E-05,0.000116411,s11_1,shared
Pseudoleptotrichia_goodfellowii,6.55E-05,0.000150405,s11_1,shared
Pseudomonas_E_viridiflava,0,2.79E-06,s11_1,(WMS)2bRAD-M only
Pseudoramibacter_alactolyticus,0,6.62E-06,s11_1,(WMS)2bRAD-M only
Ralstonia_sp000620465,0,2.51E-05,s11_1,(WMS)2bRAD-M only
Rodentibacter_sp901420285,0,9.71E-05,s11_1,(WMS)2bRAD-M only
Rothia_aeria,0.02194376,0.021658887,s11_1,shared
Rothia_dentocariosa,0.000413487,0.0012952,s11_1,shared
Rothia_mucilaginosa,0.033135389,0.01450492,s11_1,shared
Rothia_mucilaginosa_A,0,0.000450486,s11_1,(WMS)2bRAD-M only
Rothia_mucilaginosa_B,0,0.009160562,s11_1,(WMS)2bRAD-M only
Rothia_sp001808955,0,0.010369953,s11_1,(WMS)2bRAD-M only
Rothia_sp902373285,0,0.000158475,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp013333625,0,8.57E-05,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp013333645,0,2.58E-05,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp013333675,0,6.43E-05,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp013333795,0,0.000100719,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp013333845,0,0.000122399,s11_1,(WMS)2bRAD-M only
Saccharimonas_sp015257605,0.000528403,0,s11_1,(WMS)MPA only
Saccharimonas_sp018127705,0.000127034,0,s11_1,(WMS)MPA only
SDRW01_sp007845485,0.00032354,0.000427027,s11_1,shared
SDRW01_sp013333595,0,9.83E-05,s11_1,(WMS)2bRAD-M only
Selenomonas_sputigena,7.02E-05,7.53E-05,s11_1,shared
Shuttleworthia_satelles,5.68E-05,5.47E-05,s11_1,shared
Simonsiella_muelleri,8.54E-05,9.88E-05,s11_1,shared
Slackia_exigua,0,7.61E-06,s11_1,(WMS)2bRAD-M only
Stenotrophomonas_maltophilia_P,0,1.60E-05,s11_1,(WMS)2bRAD-M only
Streptococcus_anginosus,0,0.000102363,s11_1,(WMS)2bRAD-M only
Streptococcus_australis_A,0,0.000553804,s11_1,(WMS)2bRAD-M only
Streptococcus_chosunense,0,0.003908623,s11_1,(WMS)2bRAD-M only
Streptococcus_constellatus,0,0.00014301,s11_1,(WMS)2bRAD-M only
Streptococcus_cristatus,0.001544361,0.001097759,s11_1,shared
Streptococcus_cristatus_B,0,0.000320356,s11_1,(WMS)2bRAD-M only
Streptococcus_cristatus_C,0,0.000241949,s11_1,(WMS)2bRAD-M only
Streptococcus_cristatus_G,0,0.000102732,s11_1,(WMS)2bRAD-M only
Streptococcus_gordonii,0.000207057,0.000343404,s11_1,shared
Streptococcus_halitosis,0,0.001328624,s11_1,(WMS)2bRAD-M only
Streptococcus_infantis,0.001548331,0.000277209,s11_1,shared
Streptococcus_infantis_C,0,0.000144278,s11_1,(WMS)2bRAD-M only
Streptococcus_infantis_F,0,0.000563965,s11_1,(WMS)2bRAD-M only
Streptococcus_infantis_G,0,0.000201238,s11_1,(WMS)2bRAD-M only
Streptococcus_infantis_H,0,0.000256474,s11_1,(WMS)2bRAD-M only
Streptococcus_infantis_I,0,0.000961511,s11_1,(WMS)2bRAD-M only
