	s__Streptococcus_vestibularis	s__Rothia_mucilaginosa_B	s__Granulicatella_sp001071995	s__Neisseria_subflava_C	s__Lautropia_mirabilis	s__Rothia_sp001808955	s__Rothia_aeria	s__TM7x_sp007845355	s__Veillonella_parvula	s__Prevotella_melaninogenica_A	s__Fusobacterium_pseudoperiodonticum	s__Akkermansia_muciniphila_B	s__Abiotrophia_defectiva	s__Streptococcus_koreensis	s__Prevotella_histicola	s__Streptococcus_parasanguinis_C	s__Haemophilus_D_sp001815355	s__Haemophilus_D_parainfluenzae	s__Peptostreptococcus_stomatis	s__Porphyromonas_sp000769075	s__UMGS1907_sp004151455	s__Haemophilus_sp002998595	s__Fusobacterium_C_necrophorum	s__Streptococcus_parasanguinis_A	s__Mogibacterium_pumilum	s__Leptotrichia_wadei	s__Bulleidia_extructa	s__Aggregatibacter_segnis	s__Leptotrichia_massiliensis	s__CAG-354_sp900552655	s__Haemophilus_A_sputorum	s__COE1_sp000403215	s__Streptococcus_ratti	s__Duncaniella_dubosii	s__Cutibacterium_sp009696315	s__Capnocytophaga_sp002999135	s__CAG-485_sp002493045	s__Fusobacterium_nucleatum_E	s__Prevotella_sp000467895	s__Capnocytophaga_gingivalis	s__Fusobacterium_nucleatum_D	s__Neisseria_elongata	s__Kingella_A_denitrificans	s__Oribacterium_parvum	s__Neisseria_bergeri	s__Prevotella_pallens	s__CAG-873_sp011959565	s__Eubacterium_B_sulci	s__Leptotrichia_sp001553645	s__Aggregatibacter_segnis_A	s__Parabacteroides_merdae	s__F0040_sp003639005	s__UBA5532_sp002426885	s__Streptococcus_peroris	s__Cardiobacterium_valvarum	s__F0422_sp003999875	s__Fusobacterium_vincentii	s__Prevotella_salivae	s__Leptotrichia_A_sp000469505	s__GN02-872_sp003260325	s__Catonella_morbi	s__Campylobacter_B_gracilis	s__Lachnoanaerobaculum_sp000209465	s__Streptococcus_sp004166885	s__UBA2866_sp003979185	s__HOT-345_sp003260355	s__Lancefieldella_parvula	s__Campylobacter_A_showae	s__Desulfovibrio_desulfuricans	s__JABCPE02_sp013333255	s__Parabacteroides_distasonis	s__Actinomyces_oris	s__Phocaeicola_sartorii	s__Bacteroides_acidifaciens	s__Prevotella_marshii	s__Arachnia_sp900607225	s__Actinomyces_graevenitzii	s__Corynebacterium_durum	s__Bacillus_H_clausii	s__Helicobacter_C_hepaticus	s__Longibaculum_muris	s__Parabacteroides_goldsteinii	s__Peptoanaerobacter_margaretiae	s__Porphyromonas_gingivicanis	s__Leptotrichia_hofstadii	s__Fannyhessea_vaginae	s__Parvimonas_sp000223315	s__Alloprevotella_tannerae	s__Gemella_haemolysans_B	s__Fructilactobacillus_fructivorans	s__Prevotella_copri	s__UBA1103_sp004136275	s__Treponema_B_putidum	s__F0040_sp003859795	s__Dolosigranulum_pigrum	s__Streptococcus_constellatus_A	s__Granulicatella_adiacens	s__Sphingomicrobium_sp003097155	s__CAG-317_sp011960265	s__Bacteroides_stercoris	s__Paraprevotella_sp003477995	s__Alloprevotella_rava	s__Ottowia_sp003859965	s__Capnocytophaga_sp000192225	s__Ruminiclostridium_E_siraeum	s__Dialister_invisus	s__Flavisolibacter_ginsengisoli	s__Paraflavitalea_soli	s__NM07-P-09_sp004793925	s__DTNO01_sp011358525	s__Odoribacter_splanchnicus	s__Pedosphaera_parvula	s__Lachnoanaerobaculum_gingivalis	s__Treponema_sp010365865	s__Bacteroides_ovatus	s__Limosilactobacillus_sp014145545	s__Lactobacillus_taiwanensis	s__Helicobacter_A_muridarum	s__UBA1067_sp004551905	s__CAJARJ01_sp013335325	s__Peptidiphaga_sp000466165	s__Neisseria_denitrificans	s__DUUS01_sp012841465	s__Ruminococcus_E_sp003438075	s__ETA-A8_sp007747655	s__Peptidiphaga_gingivicola	s__Duncaniella_sp001689575	s__Streptobacillus_hongkongensis	s__Phocaeicola_coprocola	s__UBA7182_sp009774135	s__Centipeda_felix	s__Koribacter_versatilis	s__UBA8199_sp003527065	s__Faecalibacillus_sp003480255	s__UBA2658_sp002841545	s__UBA3282_sp003612405	s__Flavisolibacter_sp013327885	s__Sphingomicrobium_sp014352855	s__ASTD01_sp009830285	s__Metamycoplasma_hyosynoviae	s__Fretibacterium_sp003860125	s__Prevotella_aurantiaca	s__UBA9145_sp902531515	s__Thermomonas_carbonis	s__Povalibacter_uvarum	s__SHUZ01_sp009694415	s__Treponema_C_maltophilum	s__Acinetobacter_guillouiae	s__Erysipelatoclostridium_sp000508865	s__Dialister_sp900538805	s__Capnocytophaga_haemolytica	s__Turicibacter_sp001543345	s__Bacteroides_fragilis	s__UBA1820_sp003150615	s__Clostridium_disporicum_A	s__Zag111_sp002102825	s__Ferruginibacter_sp001898465	s__Agathobacter_rectalis	s__Dehalobacterium_formicoaceticum	s__Weizmannia_ginsengihumi	s__Prevotella_denticola	s__Actinomyces_sp000195595	s__Haloferula_sp000739615	s__Gemmiger_qucibialis	s__Tannerella_forsythia	s__Dorea_A_longicatena	s__Tidjanibacter_inops_A	s__Sinomonas_atrocyanea	s__2-12-FULL-35-15_sp001769385	s__UBA2475_sp013288385	s__JAAFHV01_sp013297655	s__66-474_sp001899805	s__Nitrospira_F_nitrificans	s__3-1-20CM-4-69-9_sp013816245	s__Palsa-89_sp003166865	s__Treponema_B_denticola_A	s__WHTF01_sp009379725	s__Gp6-AA56_sp003222395	s__OLB14_sp013112685	s__GCA-2746885_sp002746885	s__Dysosmobacter_welbionis	s__Niastella_vici	s__Capnocytophaga_sp000466425	s__JACDET01_sp013816255	s__Aminipila_sp010120715	s__2-02-FULL-62-14_sp001805245	s__Niastella_populi	s__Dokdonella_A_fugitiva	s__Flaviaesturariibacter_sp004343705	s__Bacillus_H_patagoniensis	s__Treponema_D_socranskii
S_1213218	0.378277155	0	0.030497592	0.085072231	0.042268593	0.006955591	0.024077047	0.007490637	0.13964687	0.012306046	0.006420546	0	0.018726592	0	0.011771001	0.019261637	0	0.029427501	0	0.014981273	0	0.004815409	0	0	0	0.009630819	0	0	0.02247191	0.008025682	0	0	0.008025682	0	0	0	0	0	0.004815409	0.001070091	0.002140182	0	0.003210273	0	0.008025682	0	0	0	0.014981273	0	0.003745318	0.018191546	0	0.014981273	0	0.021401819	0	0.007490637	0	0	0	0.002140182	0	0	0.002675227	0	0	0	0	0.002140182	0	0.001605136	0	0	0.001070091	0	0	0	0	0.001070091	0	0	0	0	0	0	0	0.002675227	0	0	0	0.003210273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001070091	0.001070091	0.001070091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1311202	0.019561815	0.039906103	0.046165884	0.115023474	0.259780909	0.014084507	0.015649452	0.037558685	0.03286385	0	0.024256651	0	0.007042254	0	0.048513302	0	0	0.029733959	0	0.07198748	0	0.004694836	0	0.007824726	0.003912363	0.007042254	0	0	0.013302034	0.032081377	0	0	0	0	0	0.043818466	0	0	0.010172144	0.007824726	0.011737089	0	0	0.007824726	0	0.011737089	0	0	0	0	0	0.008607199	0.002347418	0	0	0	0	0.016431925	0.011737089	0	0.005477308	0	0	0	0.004694836	0.002347418	0	0	0	0.003912363	0	0.002347418	0	0	0.005477308	0	0.003912363	0	0	0	0	0	0	0	0	0	0	0.006259781	0	0	0	0	0	0.002347418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1313202	0.567182664	0	0	0.004334365	0	0	0	0.014241486	0.093498452	0.154798762	0	0	0.008049536	0	0.039628483	0.081733746	0	0	0	0	0	0	0	0	0.008049536	0	0	0	0	0.005572755	0	0	0	0	0	0	0	0.003095975	0	0	0	0	0	0.00495356	0	0.005572755	0	0.004334365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00495356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1313218	0.019774011	0	0.035310734	0.153954802	0.014124294	0	0.021186441	0.046610169	0.04519774	0.028248588	0.048022599	0.004237288	0.079096045	0	0.008474576	0	0.028248588	0.032485876	0.021186441	0.225988701	0	0	0	0	0	0.014124294	0.007062147	0.015536723	0	0.024011299	0	0	0	0	0	0.019774011	0	0	0	0.012711864	0	0.005649718	0.007062147	0	0	0.036723164	0	0	0	0.008474576	0	0	0.004237288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005649718	0	0	0	0	0	0	0.009887006	0	0	0	0	0	0	0	0.004237288	0	0	0	0.002824859	0	0	0	0	0	0	0.007062147	0	0	0	0	0	0	0	0	0.002824859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1313221	0.017797553	0.040044494	0.024471635	0.255839823	0.026696329	0	0.085650723	0.010011123	0.035595106	0	0.020022247	0.010011123	0.202447164	0	0	0	0	0.066740823	0.002224694	0.063403782	0	0.025583982	0	0	0	0	0	0.016685206	0	0.012235818	0	0	0	0.002224694	0	0.015572859	0	0	0	0	0.013348165	0	0	0	0	0.006674082	0	0	0	0	0	0	0	0	0.004449388	0	0	0.004449388	0	0	0	0	0.003337041	0	0	0	0	0	0	0.003337041	0	0	0.002224694	0	0	0	0	0	0	0	0	0.003337041	0	0	0	0	0	0	0.003337041	0	0	0	0	0.005561735	0	0.003337041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004449388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002224694	0.002224694	0.002224694	0.002224694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1313223	0.789139633	0.064174894	0.018335684	0	0	0	0	0	0	0	0	0.002115656	0.038787024	0	0.024682652	0.058533145	0	0	0	0.004231312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1313229	0.107902736	0.314589665	0.024316109	0.165653495	0	0	0.024316109	0	0	0.079027356	0	0.006079027	0.042553191	0	0.036474164	0	0	0	0	0.153495441	0.012158055	0	0	0	0	0	0.004559271	0	0	0.013677812	0	0	0	0	0	0.003039514	0	0	0	0	0	0	0	0	0	0.004559271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004559271	0	0	0	0	0	0	0	0	0	0	0.003039514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1411224	0.039784946	0.056989247	0	0.178494624	0.025806452	0	0.062365591	0.002150538	0.080645161	0.030107527	0.005376344	0.004301075	0.084946237	0	0	0	0.047311828	0.077419355	0.008602151	0.035483871	0.002150538	0.010752688	0	0.008602151	0	0	0	0.064516129	0	0.012903226	0	0	0.029032258	0	0	0.010752688	0	0.012903226	0.004301075	0.037634409	0.010752688	0.010752688	0.01827957	0	0	0	0	0.004301075	0	0.003225806	0	0	0	0	0	0	0	0	0.005376344	0	0	0	0	0	0.003225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005376344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002150538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413216	0.187234042	0	0.085106383	0.228723403	0.011702128	0	0.009574468	0.017021277	0.027659574	0.05212766	0.024468085	0	0.067021277	0	0.013829787	0.060638298	0	0.103191489	0	0.015957447	0	0.015957447	0	0	0	0	0	0	0	0	0.014893617	0	0	0	0	0.012765957	0	0	0.005319149	0	0	0	0	0	0	0	0	0	0	0	0	0.010638298	0	0	0	0.011702128	0.007446809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007446809	0.005319149	0	0	0	0	0	0	0	0.00212766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413221	0.066246057	0.138801262	0.072555205	0.06466877	0.007886435	0	0.044164038	0.140378549	0.058359621	0.034700315	0.014195584	0.017350158	0.045741325	0	0.012618297	0	0.058359621	0	0	0.034700315	0	0	0	0	0.015772871	0	0.014195584	0	0	0.034700315	0	0	0	0.004731861	0	0.020504732	0.003154574	0.011041009	0.006309148	0	0	0	0	0.028391167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007886435	0	0	0	0	0	0.006309148	0	0	0	0	0	0.004731861	0.004731861	0	0	0	0.007886435	0	0	0	0	0	0	0.006309148	0	0	0	0	0	0	0	0	0	0	0	0	0.004731861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004731861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003154574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413229	0.069272977	0.087791495	0.0781893	0.296982168	0.016460905	0	0.01303155	0.015775034	0.016460905	0.00617284	0.017832647	0.01303155	0.010288066	0.004801097	0	0	0	0.044581619	0.00617284	0.027434842	0.007544582	0.088477366	0	0	0	0	0.002743484	0.009602195	0	0.00617284	0.017832647	0	0	0.004115226	0	0	0	0.008230453	0	0	0	0	0.003429355	0.002057613	0	0	0	0	0	0.002743484	0	0.024691358	0	0	0	0.01920439	0.009602195	0.006858711	0.002743484	0	0	0	0.003429355	0	0	0	0	0.002057613	0	0	0	0.014403292	0	0	0	0	0	0.007544582	0	0.003429355	0.002057613	0	0.001371742	0.00617284	0	0	0.003429355	0.002057613	0	0	0	0	0	0	0	0.004115226	0.004115226	0	0	0	0	0	0	0	0	0.002057613	0	0	0	0	0	0	0	0.002057613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001371742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413230	0.085409253	0.317615658	0.088967972	0	0	0	0.003558719	0.068505338	0.004448399	0.042704626	0	0	0.034697509	0	0.120996441	0.078291815	0	0	0.011565836	0.044483986	0.016014235	0	0	0	0.006227758	0	0.034697509	0	0	0.016014235	0	0	0	0	0	0	0	0	0.008896797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003558719	0	0	0	0	0	0	0.006227758	0.007117438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413231	0.0265625	0.034375	0.08125	0.021875	0.0140625	0	0.05	0.0515625	0	0.0203125	0.015625	0.0171875	0.021875	0	0.0453125	0	0	0.04375	0	0.034375	0.009375	0	0	0	0	0.0078125	0	0	0.003125	0	0.0109375	0.046875	0	0.0859375	0	0	0.0640625	0	0	0	0	0	0	0.0046875	0	0	0	0	0	0	0	0.1890625	0	0	0	0.025	0.015625	0	0	0	0	0	0	0	0	0.0109375	0	0	0	0	0	0	0.0203125	0	0.0046875	0	0	0	0	0	0	0	0	0.009375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0	0	0	0	0	0	0	0	0	0	0	0.0046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1413233	0.164578112	0.158730159	0.153717627	0.021720969	0	0	0.009189641	0.018379282	0.010025063	0.003341688	0	0	0	0.117794486	0.005847953	0.19966583	0.015037594	0	0.029239766	0.025062657	0.005847953	0	0	0.005847953	0.016708438	0	0.010860485	0	0	0	0	0	0	0	0	0	0	0	0.002506266	0.003341688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015037594	0	0	0	0.001670844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001670844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002506266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001670844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123202	0.209783631	0.109125118	0.105362183	0.108184384	0	0	0.012229539	0	0.097836312	0.033866416	0.030103481	0.04985889	0	0	0.006585136	0.026340546	0	0.013170273	0.006585136	0.053621825	0.011288805	0.032925682	0	0	0	0	0	0	0.003762935	0.01505174	0.008466604	0	0	0	0	0.001881468	0	0	0	0	0	0	0	0	0	0	0.032925682	0	0	0	0	0	0	0	0	0	0	0	0.001881468	0	0	0	0.003762935	0	0	0	0	0	0.011288805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002822201	0	0	0	0	0	0	0	0	0	0	0.004703669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002822201	0	0	0	0	0	0	0	0	0	0.001881468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001881468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123213	0.077130529	0.257281552	0.145631068	0.055016181	0.005393743	0	0.004854369	0.046386192	0.037756203	0.037756203	0	0	0	0.02373247	0.087378641	0.088457389	0	0.011326861	0.002157497	0.014563107	0.001078749	0	0	0.008090615	0.00377562	0.010787487	0.007551241	0.005393743	0.010787487	0.007011866	0	0	0	0.001078749	0	0	0	0	0	0.004314995	0	0	0	0.003236246	0	0.006472492	0	0	0	0	0	0	0	0	0	0	0	0.003236246	0.007551241	0	0	0	0.006472492	0	0	0	0.004314995	0	0	0.002157497	0	0	0	0	0	0	0	0.002157497	0	0	0	0	0	0	0	0	0	0	0.004314995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002696872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001618123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001078749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123214	0.058891456	0.034064665	0.017321016	0.173210164	0.06004619	0	0.021362587	0.071593534	0.06004619	0.055427252	0.018475751	0.029445727	0.00404157	0.024249423	0	0.012702079	0	0.054272517	0	0.017898383	0.001154734	0.027136259	0	0	0.001732102	0.013856813	0	0.012702079	0.005196305	0	0.010969977	0	0	0	0	0.00404157	0	0	0.006351039	0.004618938	0.003464203	0	0	0.006351039	0	0.009237875	0	0	0.001154734	0	0.010969977	0.009237875	0	0	0.003464203	0.003464203	0.025404157	0.004618938	0.010969977	0	0	0	0	0	0.004618938	0	0.002886836	0	0	0	0.00404157	0	0	0.006928406	0.002309469	0.006928406	0.00404157	0	0	0	0.00404157	0.006928406	0.001154734	0	0.005196305	0	0.002309469	0	0	0	0	0	0	0	0	0	0	0.006351039	0.003464203	0	0	0	0	0	0	0.002886836	0.002886836	0.002886836	0.002886836	0.002886836	0	0.003464203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003464203	0.001732102	0.001732102	0.001732102	0.001732102	0.002886836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001154734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.001154734	0.002309469	0	0	0	0	0	0	0	0	0
S_8123218	0.195478723	0.013297872	0.027925532	0.055851064	0.006648936	0	0.005319149	0	0.243351064	0.078457447	0	0	0.02393617	0	0.055851064	0.021276596	0	0.123670213	0	0	0	0.007978723	0	0	0	0	0	0.041223404	0.021276596	0	0	0	0.005319149	0	0	0	0	0	0	0	0	0	0	0	0	0.005319149	0	0	0.027925532	0	0	0	0	0	0	0	0	0.010638298	0.002659574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010638298	0.010638298	0	0	0.002659574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002659574	0	0	0	0	0	0	0	0
S_8123220	0.224252492	0	0	0.004983389	0.054817276	0	0.131229236	0.008305648	0.255813953	0.121262458	0	0	0.014950166	0	0.091362126	0	0	0.018272425	0	0.041528239	0.003322259	0	0	0	0	0.013289037	0	0	0	0	0	0	0	0	0	0.013289037	0	0	0	0	0	0	0	0	0	0	0	0	0.003322259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8123225	0.076825665	0.049810046	0.024905023	0.086534404	0.249894471	0.008442381	0.037568594	0.033347404	0.041789785	0	0.03081469	0.002954833	0.003799071	0	0	0	0	0.034613761	0.005909667	0.021105952	0.005909667	0.001266357	0	0	0	0.009286619	0	0.014352047	0.013507809	0.002954833	0.011819333	0	0	0.001266357	0.020683833	0.006753905	0.003799071	0.002110595	0	0.003376952	0	0.002532714	0.00422119	0.041789785	0.002110595	0	0	0	0.008020262	0	0	0.004643309	0	0	0.005487547	0	0.008442381	0.003376952	0.018151119	0.000844238	0.014352047	0.001266357	0	0.007598143	0.008020262	0	0	0	0	0.001266357	0	0.005487547	0	0	0.002532714	0	0	0	0.004643309	0.001266357	0	0	0.001266357	0.008442381	0	0.003799071	0.002532714	0	0	0	0	0.003376952	0.003376952	0.002954833	0	0	0	0	0	0.002532714	0	0	0	0	0.001688476	0	0	0	0	0	0.000844238	0	0	0.001688476	0	0	0.001688476	0	0	0	0	0	0	0	0	0	0.001266357	0	0	0	0	0	0	0	0	0	0	0.001266357	0.001266357	0.001266357	0.001266357	0.001266357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000844238	0	0	0	0	0	0.000844238	0.000844238	0.000844238	0.000844238	0.000844238	0.000844238	0.000844238	0
S_8123226	0.144150943	0.184150943	0.086792453	0.025660377	0	0.050566038	0.012830189	0.020377358	0.113962264	0.149433962	0	0	0.029433962	0	0.061886792	0.058867925	0	0	0.00754717	0.008301887	0.004528302	0	0	0	0.005283019	0	0.009056604	0	0	0	0	0	0	0	0	0.003018868	0	0	0	0	0	0	0	0	0	0.00754717	0	0	0.005283019	0	0	0	0	0	0	0	0	0.00754717	0.001509434	0	0	0	0	0	0	0	0.002264151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
